Time; UserTime; User; Text; Sentiment; Candidate; Place; Latitude; Longitude;
2015-12-14 23:18:44; Creo que Mariano Rajoy ha ganado el #CaraACara #ELPAS20D #PP https://t.co/dQE50ckodO; PP Calzadilla Barros; neutral; Mariano Rajoy; Badajoz, Extremadura; 38.8782064; -6.9701573; 
2015-12-14 23:14:22; #CaraACara Snchez a Rajoy : "Indecente". Rajoy a Snchez: "Ruin".; c. garcia-abadillo; neutral; Mariano Rajoy; Madrid, Comunidad de Madrid; 40.4167047; -3.7035825; 
2015-12-14 23:13:31; Quin ha ganado el #CaraAcara?; Elsa.; neutral; Ninguno; Villaconejos, Comunidad de Madrid; 40.1040079; -3.4850284; 
2015-12-14 23:13:19; Y colorn colorado, Pedro Snchez se ha acabado. #CaraACaraL6 #CaraACara #14D; The Bogeyman; neutral; Pedro Sanchez; Madrid, Comunidad de Madrid; 40.4167047; -3.7035825; 
2015-12-14 23:12:59; Lo nico que sac en claro del debate es que @sanchezcastejon es un mal educado #CaraACara; Javi Ramirez; neutral; Pedro Sanchez; Villalbilla, Comunidad de Madrid; 40.4324714; -3.2986182; 
2015-12-14 23:12:32; #CaraACara Los internautas de El Pas dan vencedor a Snchez.; c. garcia-abadillo; neutral; Ninguno; Madrid, Comunidad de Madrid; 40.4167047; -3.7035825; 
2015-12-14 23:08:57; Creo que Pedro Snchez ha ganado #CaraACara #ELPAS20D #PSOE https://t.co/IJhmK7uJfF; Josep Manel; neutral; Pedro Sanchez; Alicante, Valencia; 38.37564915; -0.531436525455; 
2015-12-14 23:08:14; Dice @carmechacon que ZPedro Snchez a acorralado a Rajoy!!! #CaraACaraL6 #CaraACara; Yo Soy Naranjito; neutral; Ambos; Denia, Valencia; 38.8408382; 0.1061105; 
2015-12-14 23:07:27; Dice el chuches que el euro no va a desaparecer, pues a mi me desaparecen a velocidad de vertigo #CaraACaraL6 #CaraACara #CaraACaraA3N; Mario; neutral; Ninguno; Badalona, Catalunya; 41.4493539; 2.248254; 
2015-12-14 23:07:19; Lo mejor del debate es que ya se ha terminado!!! #CaraACaraL6 #CaraACara; Yo Soy Naranjito; neutral; Ninguno; Denia, Valencia; 38.8408382; 0.1061105; 
2015-12-14 23:07:15; Creo que Pedro Snchez ha ganado #CaraACara #ELPAS20D #PSOE https://t.co/widxToYQNF; maria; neutral; Pedro Sanchez; Oviedo, Principado de Asturias; 43.3533424; -5.87951423953; 
2015-12-14 23:07:01; Sisplau que treguin ja la banda sonora... #CaraACara; Cristina Salvador; neutral; Ninguno; Barcelona, Catalonia; 41.3825596; 2.1771353; 
2015-12-14 23:06:25; El mejor debate que hay a dia de hoy es el de si con pelo o depilado #CaraACara #caracaraTVE #CaraACaraL6; Negrilloooo :-P; neutral; Ninguno; Zaragoza, Aragon; 41.6521342; -0.8809428; 
2015-12-14 23:05:38; Y despus del sopor de recreo de colegio del #CaraACara ahora los programas de anlisis llenos de    palabrera #ADormir; Lucas Ferreira; neutral; Ninguno; Madrid, Comunidad de Madrid; 40.4167047; -3.7035825; 
2015-12-14 23:05:18; El pasaje de la corrupcin provocado por @sanchezcastejon ha sido el ms duro que se recuerda en Espaa de los debates #CaraACara.; Javier Casqueiro; neutral; Pedro Sanchez; Madrid, Comunidad de Madrid; 40.4167047; -3.7035825; 
2015-12-14 23:04:58; Uffff la msica final tan cutre y arcaica como el #CaraACara; Jose Martret; neutral; Ninguno; Madrid, Comunidad de Madrid; 40.4167047; -3.7035825; 
2015-12-14 23:04:46; Madre mia que mal lo ha hecho Rajoy muy impreciso y negando cosas obvias #CaraACara; Fran Brunet; neutral; Mariano Rajoy; Madrid, Comunidad de Madrid; 40.4167047; -3.7035825; 
2015-12-14 23:04:16; @Albert_Rivera y @Pablo_Iglesias_ estaban escuchando @10segundosgbes que es mas entretenido que el #CaraACara https://t.co/M5oOd6qXaA; Javi Seby; neutral; Ninguno; Seville, Andalusia; 37.3886303; -5.9953171; 
2015-12-14 23:04:03; Echar un vistazo a los papeles en el minuto final? Fiel resumen del #CaraACara Lamentable @marianorajoy @sanchezcastejon; Mar Castro; neutral; Ambos; Lugo, Galicia; 43.0396042; -7.45660706651; 
